sim_id,dataloader,job_id,job_speed,cache_capacity_gb,bacthes_processed,cache_hit_count,cache_miss_count,cache_hit_%,elapsed_time,throughput(batches/s),compute_cost,cache_cost,total_cost
1746164418,coordl,RESNET18,0.104419951,50,1000,605,395,0.605,183.4199510000011,5.4519696169801835,0.15590695835000096,0.04139686394097247,0.19730382229097343
1746164418,coordl,RESNET50,0.33947309,50,1000,1000,0,1.0,339.4730900000074,2.9457415902980064,0.28855212650000633,0.07661719045139055,0.36516931695139687
1746164418,coordl,VGG16,0.514980298,50,1000,1000,0,1.0,514.9802980000081,1.9418218597558545,0.43773325330000695,0.11622819225694628,0.5539614455569533
1746164418,coordl,SHUFFLENETV2,0.062516984,50,1000,395,605,0.395,183.31698400000178,5.455031924374177,0.15581943640000154,0.04137362486111151,0.19719306126111305
1746164435,coordl,RESNET18,0.104419951,5,1000,535,465,0.535,197.21995100000032,5.070480927155278,0.16763695835000028,0.04451144727430563,0.21214840562430592
1746164435,coordl,RESNET50,0.33947309,5,1000,268,732,0.268,485.6730900000006,2.058998162735347,0.41282212650000055,0.10961371822916681,0.5224358447291674
1746164435,coordl,VGG16,0.514980298,5,1000,140,860,0.14,686.7802980000001,1.4560697255179558,0.5837632533000001,0.15500249781250003,0.7387657511125001
1746164435,coordl,SHUFFLENETV2,0.062516984,5,1000,350,650,0.35,192.31698400000127,5.199748764778848,0.16346943640000108,0.043404874861111394,0.20687431126111247
1746164467,coordl,RESNET18,0.104419951,5,1000,605,395,0.605,183.4199510000011,5.4519696169801835,0.15590695835000096,0.04139686394097247,0.19730382229097343
1746164467,coordl,RESNET50,0.33947309,5,1000,215,785,0.215,496.4730900000008,2.0142078596847988,0.42200212650000074,0.11205121822916685,0.5340533447291675
1746164467,coordl,VGG16,0.514980298,5,1000,774,226,0.774,560.1802980000014,1.7851395409125894,0.4761532533000012,0.12642958114583364,0.6025828344458348
1746164467,coordl,SHUFFLENETV2,0.062516984,5,1000,395,605,0.395,183.31698400000178,5.455031924374177,0.15581943640000154,0.04137362486111151,0.19719306126111305
1746164500,coordl,RESNET18,0.104419951,5,1000,535,465,0.535,197.21995100000032,5.070480927155278,0.16763695835000028,0.04451144727430563,0.21214840562430592
1746164500,coordl,RESNET50,0.33947309,5,1000,268,732,0.268,485.6730900000006,2.058998162735347,0.41282212650000055,0.10961371822916681,0.5224358447291674
1746164500,coordl,VGG16,0.514980298,5,1000,140,860,0.14,686.7802980000001,1.4560697255179558,0.5837632533000001,0.15500249781250003,0.7387657511125001
1746164500,coordl,SHUFFLENETV2,0.062516984,5,1000,350,650,0.35,192.31698400000127,5.199748764778848,0.16346943640000108,0.043404874861111394,0.20687431126111247
1746164525,coordl,RESNET18,0.104419951,5,3000,535,2465,0.17833333333333334,806.0598530000001,3.7218079883703123,0.6851508750500002,0.18192323071180558,0.8670741057618058
1746164525,coordl,RESNET50,0.33947309,5,3000,268,2732,0.08933333333333333,1564.619270000003,1.9173993683460093,1.3299263795000027,0.3531258769097229,1.6830522564097257
1746164525,coordl,VGG16,0.514980298,5,3000,140,2860,0.04666666666666667,2116.740893999979,1.4172731336667934,1.7992297598999825,0.47773666010416194,2.276966420004144
1746164525,coordl,SHUFFLENETV2,0.062516984,5,3000,350,2650,0.11666666666666667,717.3509519999592,4.182053417000512,0.6097483091999654,0.16190212458332412,0.7716504337832895
1746164562,coordl,RESNET18,0.104419951,5,3000,1814,1186,0.6046666666666667,550.2598530000074,5.451969616980143,0.4677208750500063,0.12419059182291833,0.5919114668729246
1746164562,coordl,RESNET50,0.33947309,5,3000,213,2787,0.071,1575.6192700000033,1.9040132709217206,1.339276379500003,0.35560851579861186,1.6948848952986149
1746164562,coordl,VGG16,0.514980298,5,3000,192,2808,0.064,2106.340893999982,1.4242708806279414,1.790389759899985,0.4753894378819404,2.2657791977819253
1746164562,coordl,SHUFFLENETV2,0.062516984,5,3000,1186,1814,0.3953333333333333,550.350952000006,5.451067158324761,0.46779830920000515,0.12421115236111246,0.5920094615611176
