model,disdl_throughput(samples/s),tensorsocket_throughput(samples/s),coordl_throughput(samples/s),disdl_cache_cost($),tensorsocket_cache_cost($),coordl_cache_cost($),disdl_cache_hit,coordl_cache_hit,tensorsocket_cache_hit,disdl_compute,disdl_io,disdl_transform,tensorsocket_compute,tensorsocket_io,tensorsocket_transform,coordl_compute,coordl_io,coordl_transform,disdl_epoch_time(min),tensorsocket_epoch_time(min),coordl_epoch_time(min),disdl_epoch_cost($),tensorsocket_epoch_cost($),coordl_epoch_cost($),disdl_compute_pct,disdl_io_pct,disdl_transform_pct,tensorsocket_compute_pct,tensorsocket_io_pct,tensorsocket_transform_pct,coordl_compute_pct,coordl_io_pct,coordl_transform_pct
ALB-H2,256.5876758,189.5294704,122.879695,0.25,0,0.4105,0.999538533,0.666666667,0.72,0.637029998,0.362970002,0.190709378,0.42186187,0.385617786,0.192520344,0.448599288,0.343444582,0.20795613,7.683338624325307,10.401812424417558,16.043740993986027,1.0337005396811811,1.060984867290591,2.2902916531286968,53.50004037677111,30.483509133829966,16.016450489398935,42.186187000000004,38.561778600000004,19.2520344,44.8599288,34.3444582,20.795613
ALB-H8,254.2033033,189.5294704,139.9925629,0.25,0,0.4105,0.998805257,0.703703704,0.7224,0.886912429,0.113087571,0.060676417,0.478813054,0.34763138,0.173555565,0.526160139,0.278800659,0.195039202,7.75540669380436,10.401812424417558,14.08253380865849,1.0410514827680446,1.060984867290591,2.0605035445811533,83.61762501598072,10.66183514477064,5.720539839248636,47.8813054478813,34.76313803476314,17.355556517355556,52.616013900000006,27.8800659,19.5039202
ALB-H16,254.6285716,189.5294704,113.7750098,0.25,0,0.4105,0.998826291,0.619047619,0.726,0.732743277,0.267256723,0.142854654,0.58987896,0.273550488,0.136570552,0.580209164,0.270074021,0.149716815,7.7424539894014,10.401812424417558,17.327618810717077,1.0397303069189427,1.060984867290591,2.440719337322351,64.11517636432532,23.385014189214647,12.499809446460022,58.98789599999999,27.3550488,13.657055200000002,58.0209164,27.0074021,14.9716815
ALB-H32,191.5294704,189.5294704,100.3700686,0.25,0,0.4105,0.998265395,0.8,0.7464,0.889453021,0.110546979,0.058122871,0.811704452,0.125593017,0.06270253,0.57558657,0.241625944,0.182787486,10.29319402326296,10.401812424417558,19.641811821975782,1.299905790372822,1.060984867290591,2.711865618474829,84.05952138237073,10.44746144609136,5.493017171537917,81.17044528117044,12.5593017125593,6.270253006270253,57.558657000000004,24.1625944,18.2787486
