model,disdl_throughput(samples/s),tensorsocket_throughput(samples/s),coordl_throughput(samples/s),disdl_cache_cost($),tensorsocket_cache_cost($),coordl_cache_cost($),disdl_cache_hit,coordl_cache_hit,tensorsocket_cache_hit,disdl_compute,disdl_io,disdl_transform,tensorsocket_compute,tensorsocket_io,tensorsocket_transform,coordl_compute,coordl_io,coordl_transform,disdl_epoch_time(min),tensorsocket_epoch_time(min),coordl_epoch_time(min),disdl_epoch_cost($),tensorsocket_epoch_cost($),coordl_epoch_cost($),disdl_compute_pct,disdl_io_pct,disdl_transform_pct,tensorsocket_compute_pct,tensorsocket_io_pct,tensorsocket_transform_pct,coordl_compute_pct,coordl_io_pct,coordl_transform_pct
L-128,788.9622073,242.0651073,233.5442285,0.25,0,0.4105,0.998900367,0.693215339,0.746031746,0.542469913,0.457530087,0.22918859,0.590574879,0.192127215,0.217297906,0.17503495,0.478140447,0.346824603,190.12317524477194,619.667996239126,642.2766298418717,19.64256387496674,63.206135616390846,75.66391179647263,44.13235832265577,37.22212284772347,18.645518829620766,59.057487900000005,19.2127215,21.7297906,17.503495,47.814044700000004,34.6824603
M-B/32,767.5326318,242.5468943,217.2659583,0.25,0,0.4105,0.998306796,0.641354071,0.746031746,0.580947708,0.419052292,0.208774596,0.178098183,0.385686414,0.436215403,0.121347312,0.516183848,0.36246884,195.43143025492407,618.437108555465,690.3980778842518,20.184005886002254,63.08058507265743,81.30214145877152,48.06087999552896,34.66752969384873,17.27159031062231,17.8098183,38.5686414,43.6215403,12.1347312,51.618384799999994,36.246884
V-S/32,469.5438926,242.3067177,187.3712243,0.25,0,0.4105,0.988059187,0.723234624,0.746031746,0.882908693,0.117091307,0.058326134,0.377313912,0.292202255,0.330483833,0.498025945,0.292817452,0.209156603,319.4589523237257,619.0501089850717,800.5498206055112,32.83481313702003,63.143111116477314,94.20825398094573,83.42501093334995,11.063820805165905,5.511168261484129,37.7313912,29.2202255,33.0483833,49.802594500000005,29.281745199999996,20.9156603
V-B/32,355.6970003,243.3831926,130.3539737,0.25,0,0.4105,0.96497948,0.75,0.746045694,0.869720837,0.130279163,0.060864856,0.508513101,0.230635601,0.260851298,0.516150681,0.265161145,0.218688174,421.70723923307713,616.3120731451856,1150.712906882408,43.26413840177387,62.86383146080894,135.23569558972218,81.9822460967639,12.280467418933897,5.7372864843022,50.8513101,23.0635601,26.0851298,51.615068099999995,26.5161145,21.8688174
